hadithID,title,asaneed,hadithTxt,Matn
21311,موطأ الإمام مالك - كتاب الزكاة - الزكاة في العين من الذهب والورق,"[[3807,6509,5361]]",533  839 - مالك ، عن نافع ، أن عبد الله بن عمر كان يقول : لا تجب في مال زكاة حتى يحول عليه الحول .,لَا تَجِبُ فِي مَالٍ زَكَاةٌ حَتَّى يَحُولَ عَلَيْهِ الْحَوْلُ 
97307,جامع الترمذي - أبواب الزكاة عن رسول الله صلى الله عليه وسلم - باب ما جاء لا زكاة على المال المستفاد حتى يحول عليه الحول,"[[النبي ﷺ,3807,2175,3294,6639,7010,10859]]",( 10 ) ( 10 ) باب ما جاء لا زكاة على المال المستفاد حتى يحول عليه الحول 646 631 - حدثنا يحيى بن موسى ، قال : حدثنا هارون بن صالح الطلحي ، قال : حدثنا عبد الرحمن بن زيد بن أسلم ، عن أبيه ، عن ابن [2/19] عمر قال : قال رسول الله صلى الله عليه وسلم : من استفاد مالا فلا زكاة عليه حتى يحول عليه الحول عند ربه . وفي الباب عن سراء بنت نبهان .,مَنِ اسْتَفَادَ مَالًا فَلَا زَكَاةَ عَلَيْهِ حَتَّى يَحُولَ عَلَيْهِ الْحَوْلُ عِنْدَ رَبِّهِ 
97308,جامع الترمذي - أبواب الزكاة عن رسول الله صلى الله عليه وسلم - باب ما جاء لا زكاة على المال المستفاد حتى يحول عليه الحول,"[[3807,6509,857,4085,5509,10859]]",647  632 - حدثنا محمد بن بشار ، قال : حدثنا عبد الوهاب الثقفي ، قال : حدثنا أيوب ، عن نافع ، عن ابن عمر قال : من استفاد مالا فلا زكاة فيه حتى يحول عليه الحول عند ربه . وهذا أصح من حديث عبد الرحمن بن زيد بن أسلم . ورواه أيوب وعبيد الله بن عمر وغير واحد عن نافع عن ابن عمر موقوفا . وعبد الرحمن بن زيد بن أسلم ضعيف في الحديث ، ضعفه أحمد بن حنبل وعلي بن المديني وغيرهما من أهل الحديث ، وهو كثير الغلط . وقد روي عن غير واحد من أصحاب النبي صلى الله عليه وسلم أن لا زكاة في المال المستفاد حتى يحول عليه الحول ، وبه يقول مالك بن أنس والشافعي وأحمد وإسحاق . [2/20] وقال بعض أهل العلم : إذا كان عنده مال تجب فيه الزكاة ففيه الزكاة ، وإن لم يكن عنده سوى المال المستفاد - مال تجب فيه الزكاة - لم يجب عليه في المال المستفاد زكاة حتى يحول عليه الحول ، فإن استفاد مالا قبل أن يحول عليه الحول فإنه يزكي المال المستفاد مع ماله الذي وجبت فيه الزكاة ، وبه يقول سفيان الثوري وأهل الكوفة .,مَنِ اسْتَفَادَ مَالًا فَلَا زَكَاةَ فِيهِ حَتَّى يَحُولَ عَلَيْهِ الْحَوْلُ عِنْدَ رَبِّهِ 
127857,السنن الكبرى للبيهقي - كتاب الزكاة - جماع أبواب صدقة الغنم السائمة - باب الوقت الذي تجب فيه الصدقة,"[[3807,6509,5361,5483,1957,12319,11790,15071]]",7451 - ( وأخبرنا ) أبو زكريا بن أبي إسحاق في آخرين ، قالوا : ثنا أبو العباس ، أنبأ الربيع قال : أنبأ الشافعي ، أنبأ مالك ، عن نافع ، عن ابن عمر ، قال : لا تجب في مال زكاة حتى يحول عليه الحول .,لَا تَجِبُ فِي مَالٍ زَكَاةٌ حَتَّى يَحُولَ عَلَيْهِ الْحَوْلُ 
147231,سنن الدارقطني - كتاب الزكاة - باب وجوب الزكاة بالحول,"[[3807,6509,4195,684,968,6701,104196,11868,12982]]","[2/467] باب وجوب الزكاة بالحول . 1888 1887 - حدثنا الحسن بن أحمد بن صالح الحلبي ، حدثنا سعيد بن عثمان الوراق ، حدثنا أبو التقي هشام بن عبد الملك ، حدثنا بقية ، عن إسماعيل ، عن عبيد الله بن عمر ، عن نافع ، عن ابن عمر قال : قال رسول الله - صلى الله عليه وسلم - :  لا زكاة في مال امرئ حتى يحول عليه الحول رواه معتمر وغيره عن عبيد الله موقوفا .   """,لَا زَكَاةَ فِي مَالِ امْرِئٍ حَتَّى يَحُولَ عَلَيْهِ الْحَوْلُ 
147232,سنن الدارقطني - كتاب الزكاة - باب وجوب الزكاة بالحول,"[[النبي ﷺ,3807,2175,3294,6996,11555,11528,12982]]","[2/468] . 1889 1888 - حدثنا الحسين بن إسماعيل القاضي ، حدثنا عبد الله بن شبيب ، حدثني يحيى بن محمد الجاري ، حدثنا عبد الرحمن بن زيد بن أسلم ، عن أبيه ، عن ابن عمر أن رسول الله - صلى الله عليه وسلم - قال :  ليس في مال المستفيد زكاة حتى يحول عليه الحول .   """,لَيْسَ فِي مَالِ الْمُسْتَفِيدِ زَكَاةٌ حَتَّى يَحُولَ عَلَيْهِ الْحَوْلُ 
147238,سنن الدارقطني - كتاب الزكاة - باب وجوب الزكاة بالحول,"[[3807,6509,857,4085,5969,11982,12982]]",1895  1894 - حدثنا عمر بن أحمد بن علي الدربي ، حدثنا محمد بن الوليد البسري ، حدثنا عبد الوهاب الثقفي ، عن أيوب ، عن نافع [2/471] أن ابن عمر قال : لا زكاة في مال حتى يحول عليه الحول عند ربه .,لَا زَكَاةَ فِي مَالٍ حَتَّى يَحُولَ عَلَيْهِ الْحَوْلُ عِنْدَ رَبِّهِ 
147239,سنن الدارقطني - كتاب الزكاة - باب وجوب الزكاة بالحول,"[[3807,6509,4195,6257,12190,11733,12982]]",1896  1895 - حدثنا إبراهيم بن حماد ، حدثنا أحمد بن عبيد الله العنبري ، حدثنا معتمر ، عن عبيد الله ، عن نافع ، عن عبد الله بن عمر أنه قال : إذا استفاد الرجل مالا لم تحل فيه الزكاة حتى يحول عليه الحول .,إِذَا اسْتَفَادَ الرَّجُلُ مَالًا لَمْ تَحِلَّ فِيهِ الزَّكَاةُ حَتَّى يَحُولَ عَلَيْهِ الْحَوْلُ 
221262,مصنف عبد الرزاق - كتاب الزكاة - باب لا صدقة في مال حتى يحول عليه الحول,"[[3807,6509,4195,3447]]","7084  7030 - عبد الرزاق ، عن عبيد الله بن عمر ، عن نافع ، عن ابن عمر قال : من استفاد مالا فلا زكاة عليه حتى يحول عليه الحول  .   """,مَنِ اسْتَفَادَ مَالًا فَلَا زَكَاةَ عَلَيْهِ حَتَّى يَحُولَ عَلَيْهِ الْحَوْلُ 
221263,مصنف عبد الرزاق - كتاب الزكاة - باب لا صدقة في مال حتى يحول عليه الحول,"[[3807,6509,857,6279,3447],[3807,6509,5183,6279,3447]]",7085  7031 - عبد الرزاق ، عن معمر ، عن قتادة وأيوب ، عن نافع ، عن ابن عمر مثله .,
