rawi_index,name,grade,places,birth,death,date_birth,date_death
3,آدم بن أبي إياس : عبد الرحمن بن محمد ، وقيل : ناهية بن شعيب,ثقة عابد,"['عسقلان', 'بغداد', 'الكوفة', 'البصرة', 'مكة', 'المدينة', 'الحجاز', 'مصر', 'الشام']",155.5,220.5,,220 هـ ، وقيل : 221 هـ
4,آدم بن سليمان,صدوق,[],70.5,135.5,,131 هـ : 140 هـ
5,آدم بن علي,صدوق,[],39.23809523809524,104.23809523809524,,في ولاية هشام بن عبد الملك
6,أم قيس بنت محصن بن حرثان بن قيس بن مرة بن كبير بن غنم ، يقال : اسمها آمنة,صحابية مشهورة,"['مكة', 'المدينة']",-9.5,55.5,,51 هـ : 60 هـ
7,أم حرام ، يقال اسمها : آمنة,,[],55.0,120.0,,
8,أبان بن أبي عياش : فيروز ، أو قيس ، ويقال : دينار,متروك,[],68.25,133.25,,127هـ ، أو 128 هـ ، أو 138 هـ ، أو في حدود 140 هـ
9,أبان بن إسحاق,ثقة,[],74.0,139.0,,
10,أبان بن تغلب بن رياح,"ثقة , تكلم فيه للتشيع",[],75.5,140.5,,140هـ ، أو 141 هـ ، أو بعدها
11,أبان بن صالح بن عمير بن عبيد,وثقه الأئمة,"['الكوفة', 'عسقلان']",60.0,110.0,60 هـ,110 هـ وبضع
12,أبان بن صمعة,صدوق ، تغير آخرا,[],88.0,153.0,,153 هـ
13,أبان بن طارق,مجهول الحال,[],74.0,139.0,,
14,أبان بن عبد الله بن أبي حازم بن صخر بن العيلة ، وقيل : ابن أبي حازم: صخر بن العيلة بن عبد الله بن ربيعة بن عمرو بن عامر بن علي بن أسلم بن أحمس,صدوق ، في حفظه لين,['الكوفة'],90.5,155.5,,في خلافة أبي جعفر ، أو 151 هـ : 160 هـ
15,أبان بن عثمان بن عفان,ثقة,['المدينة'],38.5,103.5,,102هـ ، أو 105هـ ، أو في خلافة يزيد بن عبد الملك ، وقيل : مات قبل السائب بن يزيد
16,أبان بن يزيد,ثقة له أفراد,[],95.0,160.0,,في حدود 160 هـ
17,إبراهيم ، عن كعب بن عجرة,مجهول,[],39.23809523809524,104.23809523809524,,
18,إبراهيم بن أبي أسيد,صدوق,[],96.0,161.0,,
19,إبراهيم بن أبي العباس ، ويقال: ابن العباس,ثقة ، تغير بآخره فلم يحدث,['بغداد'],150.5,215.5,,211 هـ : 220 هـ
21,إبراهيم بن أبي عبلة : شمر بن يقظان بن عبد الله بن المرتحل,ثقة,[],87.0,152.0,,151 هـ ، أو 152 هـ ، أو 153 هـ
22,إبراهيم بن أبي عمرو,مجهول,[],117.0,182.0,,
23,إبراهيم بن أبي موسى : عبد الله بن قيس,لم يثبت له سماع إلا من بعض الصحابة ، ووثقه العجلي,[],5.0,70.0,في حياة النبي صلى الله عليه وسلم,في حدود  70 هـ
24,إبراهيم بن أبي ميمونة,مجهول الحال,[],117.0,182.0,,
25,إبراهيم بن أدهم بن منصور بن يزيد بن جابر بن ثعلبة بن سعد بن حلام بن غزية بن أسامة بن ربيعة بن ضبيعة بن عجل بن لجيم,صدوق,"['الشام', 'الكوفة', 'الثغور', 'خراسان', 'مكة', 'سوقين (حصن ببلاد الروم)', 'مصر']",97.0,162.0,,161 هـ ، أو 162 هـ ، أو 163 هـ
26,إبراهيم بن إسحاق بن عيسى ، وربما نسب إلى جده,صدوق يغرب,"['مرو', 'سمرقند', 'الشاش', 'نقل مغلطاي عن "" مشيخة البغوي "" للحافظ أبي محمد بن الإخضر أنه مات بالكوفة']",155.66666666666666,220.66666666666666,,214 هـ ، أو 215 هـ ، أو 233 هـ
27,إبراهيم بن إسماعيل ، ويقال : إسماعيل بن إبراهيم,مجهول الحال,[],39.23809523809524,104.23809523809524,,
28,إبراهيم بن إسماعيل بن نصر,مجهول الحال,[],117.0,182.0,,
29,إبراهيم بن إسماعيل بن مجمع  ، وقيل: إبراهيم بن إسماعيل بن يزيد بن مجمع بن جارية,ضعيف,[],96.0,161.0,,
30,إبراهيم بن إسماعيل بن عبد الملك بن أبي محذورة,مجهول,[],96.0,161.0,,
31,إبراهيم بن إسماعيل بن يحيى بن سلمة بن كهيل,ضعيف,[],193.0,258.0,,258 هـ
32,إبراهيم بن إسماعيل بن أبي حبيبة,ضعيف,[],97.5,162.5,,165 هـ ، وقيل : 160 هـ
33,إبراهيم بن أعين,ضعيف,['مصر'],120.5,185.5,,181 هـ : 190 هـ
