rawi_index,name,shuhrah,laqab,kunyah,nasab,place_iqama,selat_karaba,aqeedah,date_birth,date_death,place_birth,place_death,place_travel,date_travel,tabaqah,grade_ibn_hajar,grade_thahabi
3,آدم بن أبي إياس : عبد الرحمن بن محمد ، وقيل : ناهية بن شعيب,,,أبو الحسن,العسقلاني ، الخرساني الأصل ، المروذي ، التيمى مولاهم,عسقلان ، بغداد,مولى بني تميم أو تيم ، ابنه عبيد,,,220 هـ ، وقيل : 221 هـ,,عسقلان,"الكوفة ,  والبصرة ,  والحجاز , ومصر , والشام",,التاسعة,ثقة عابد,قال أبو حاتم : ثقة مأمون متعبد من خيار عباد الله
4,آدم بن سليمان,,,,القرشي مولاهم ، الكوفي,,والد يحيى ، مولى خالد بن خالد بن عقبة بن أبي معيط,,,131 هـ : 140 هـ,,,,,السابعة,صدوق,
5,آدم بن علي,,,,العجلي ، الكوفي ، ويقال: الشيباني ، ويقال: البكري,,,,,في ولاية هشام بن عبد الملك,,,,,الثالثة,صدوق,ثقة
6,أم قيس بنت محصن بن حرثان بن قيس بن مرة بن كبير بن غنم ، يقال : اسمها آمنة,,,أم قيس,الأسدية,مكة,أخت عكاشة ، مواليها : عدي بن دينار ، وأبو الحسن,,,51 هـ : 60 هـ,,,المدينة,,صحابية مشهورة,صحابية مشهورة,من المهاجرات
7,أم حرام ، يقال اسمها : آمنة,,,أم حرام,,,أم محمد بن زيد بن المهاجر بن قنفذ,,,,,,,,الرابعة,,
8,أبان بن أبي عياش : فيروز ، أو قيس ، ويقال : دينار,,,أبو إسماعيل,البصري ، العبدي مولاهم,,مولى أنس ، مولى عبد القيس,,,127هـ ، أو 128 هـ ، أو 138 هـ ، أو في حدود 140 هـ,,,,,الخامسة,متروك,قال أحمد : متروك
9,أبان بن إسحاق,,,,الأسدي ، الكوفي ، النحوي,,,,,,,,,,السادسة,ثقة,فيه لين
10,أبان بن تغلب بن رياح,,,أبو سعد,الربعي ، الكوفي ، القاري ، النحوي ، العرباني ، أو العربي,,"والد محمد ، 
أخو نوح",يغلو في التشيع,,140هـ ، أو 141 هـ ، أو بعدها,,,,,السابعة,"ثقة , تكلم فيه للتشيع",ثقة شيعي
11,أبان بن صالح بن عمير بن عبيد,,,أبو بكر ، أو أبو محمد,المدني الأصل ، الكوفي ، القرشي مولاهم ، وقيل : المكي,الكوفة,مولى قريش ، جد عبد الله بن عمر بن محمد بن أبان الجعفي,,60 هـ,110 هـ وبضع,,عسقلان,,,الخامسة,وثقه الأئمة,
12,أبان بن صمعة,,,,الأنصاري ، البصري,,قيل : إنه والد عتبة الغلام الزاهد,,,153 هـ,,,,,السابعة,صدوق ، تغير آخرا,قال أحمد : صالح ، ووثقه غيره ، لكنه تغير
13,أبان بن طارق,,,,البصري,,,,,,,,,,السادسة,مجهول الحال,
14,أبان بن عبد الله بن أبي حازم بن صخر بن العيلة ، وقيل : ابن أبي حازم: صخر بن العيلة بن عبد الله بن ربيعة بن عمرو بن عامر بن علي بن أسلم بن أحمس,,,,البجلي ، الأحمسي ، الكوفي,,عمه : عثمان بن أبي حازم البجلي ، ابن عم الصباح بن محمد بن أبي حازم,,,في خلافة أبي جعفر ، أو 151 هـ : 160 هـ,,الكوفة,,,السابعة,صدوق ، في حفظه لين,وثقه ابن معين ، ولينه غيره
15,أبان بن عثمان بن عفان,,,أبو سعيد ، ويقال: أبو عبد الله,الأموي ، المدني ، القرشى,,"أمه أم عمرو بنت جندب الدوسية ، وقال مغلطاي نقلا عن ابن حبان : أمه أم النجوم بنت جندب ، ابنه عبد الرحمن ، أخوه عمرو ، 
كان يعلم عبد الله بن أبي بكر القضاء ، معدود في أصحاب زيد بن ثابت",,,102هـ ، أو 105هـ ، أو في خلافة يزيد بن عبد الملك ، وقيل : مات قبل السائب بن يزيد,,المدينة,,,الثالثة,ثقة,فقيه مجتهد
16,أبان بن يزيد,,,أبو يزيد,العطار ، البصري,,,كان يرى القدر ، ولا يتكلم به,,في حدود 160 هـ,,,,,السابعة,ثقة له أفراد,قال أحمد : ثبت في كل المشايخ
17,إبراهيم ، عن كعب بن عجرة,,,,,,,,,,,,,,الثالثة,مجهول,لا يدرى من ذا
18,إبراهيم بن أبي أسيد,,البراد,,البراد ، المدينى,,,,,,,,,,السابعة,صدوق,شيخ
19,إبراهيم بن أبي العباس ، ويقال: ابن العباس,السامري,,أبو إسحاق,السامري ، الكوفي ، الأبناوي الأصل,بغداد,,,,211 هـ : 220 هـ,,,,,العاشرة,ثقة ، تغير بآخره فلم يحدث,وثقه الدارقطني
21,إبراهيم بن أبي عبلة : شمر بن يقظان بن عبد الله بن المرتحل,,,أبو إسماعيل ، ويقال : أبو سعيد ، ويقال : أبو إسحاق ، ويقال : أبو العباس,الرملي ، الشامي ، العقيلي ، المقدسي ، الفلسطيني ، وقيل : الدمشقي,,ابن أخيه هاني بن عبد الرحمن بن أبي عبلة,,,151 هـ ، أو 152 هـ ، أو 153 هـ,,,,,الخامسة,ثقة,قال أبو حاتم : صدوق
22,إبراهيم بن أبي عمرو,,,,الغفاري ، المدني,,والد عبد الله,,,,,,,,الثامنة,مجهول,
23,إبراهيم بن أبي موسى : عبد الله بن قيس,,,أبو إسحاق,الأشعري ، الكوفي,,,,في حياة النبي صلى الله عليه وسلم,في حدود  70 هـ,,,,,له رؤية,لم يثبت له سماع إلا من بعض الصحابة ، ووثقه العجلي,
24,إبراهيم بن أبي ميمونة,,,,الحجازي,,,,,,,,,,الثامنة,مجهول الحال,
25,إبراهيم بن أدهم بن منصور بن يزيد بن جابر بن ثعلبة بن سعد بن حلام بن غزية بن أسامة بن ربيعة بن ضبيعة بن عجل بن لجيم,,,أبو إسحاق,الزاهد ، العربي ، البلخي الأصل ، الخراساني ، العجلي ، وقيل: التميمي,الشام ، الكوفة ، الثغور ، خراسان,خادمه إبراهيم بن بشار الخراساني الطويل,,,161 هـ ، أو 162 هـ ، أو 163 هـ,مكة,سوقين (حصن ببلاد الروم),مصر,,الثامنة,صدوق,
26,إبراهيم بن إسحاق بن عيسى ، وربما نسب إلى جده,,,أبو إسحاق,البناني مولاهم ، الطالقاني,مرو ، سمرقند ، الشاش,مولى بنانة,مرجئ,,214 هـ ، أو 215 هـ ، أو 233 هـ,,"مرو ، ونقل مغلطاي عن "" مشيخة البغوي "" للحافظ أبي محمد بن الإخضر أنه مات بالكوفة",,,التاسعة,صدوق يغرب,ثبت مرجئ
27,إبراهيم بن إسماعيل ، ويقال : إسماعيل بن إبراهيم,,,,السلمي ، الحجازي ، ويقال : الشيباني,,,,,,,,,,الثالثة,مجهول الحال,قال أبو حاتم : يجهل
28,إبراهيم بن إسماعيل بن نصر,,,,اليشكري ، و يقال : البكرى ، ويقال : التبان,,,,,,,,,,الثامنة,مجهول الحال,
29,إبراهيم بن إسماعيل بن مجمع  ، وقيل: إبراهيم بن إسماعيل بن يزيد بن مجمع بن جارية,,,أبو إسحاق,الأنصاري ، المدني,,عمه يعقوب بن مجمع بن جارية ، أو عم أبيه,,,,,,,,السابعة,ضعيف,ضعفوه
30,إبراهيم بن إسماعيل بن عبد الملك بن أبي محذورة,,,أبو إسماعيل,القرشي ، الجمحي ، المكي,,ابن عم إبراهيم بن عبد العزيز,,,,,,,,السابعة,مجهول,
31,إبراهيم بن إسماعيل بن يحيى بن سلمة بن كهيل,,,أبو إسحاق,الحضرمي ، الكوفي ، الكهيلى,,ابناه سلمة ، ويحيى,,,258 هـ,,,,,الحادية عشرة,ضعيف,اتهمه أبو زرعة
32,إبراهيم بن إسماعيل بن أبي حبيبة,,,أبو إسماعيل,الأنصاري ، الأشهلي مولاهم ، المدني ، الحجازى,,مولى عبد الله بن سعد بن زيد الأشهلي,,,165 هـ ، وقيل : 160 هـ,,,,,السابعة,ضعيف,قال الدارقطني وغيره : متروك
33,إبراهيم بن أعين,,,,الشيباني ، العجلي ، البصري,مصر,,,,181 هـ : 190 هـ,,,,,التاسعة,ضعيف,ضعفه أبو حاتم
