rawi_index,name,grade
3,آدم بن أبي إياس : عبد الرحمن بن محمد ، وقيل : ناهية بن شعيب,ثقة عابد
4,آدم بن سليمان,صدوق
5,آدم بن علي,صدوق
6,أم قيس بنت محصن بن حرثان بن قيس بن مرة بن كبير بن غنم ، يقال : اسمها آمنة,صحابية مشهورة
7,أم حرام ، يقال اسمها : آمنة,
8,أبان بن أبي عياش : فيروز ، أو قيس ، ويقال : دينار,متروك
9,أبان بن إسحاق,ثقة
10,أبان بن تغلب بن رياح,"ثقة , تكلم فيه للتشيع"
11,أبان بن صالح بن عمير بن عبيد,وثقه الأئمة
12,أبان بن صمعة,صدوق ، تغير آخرا
13,أبان بن طارق,مجهول الحال
14,أبان بن عبد الله بن أبي حازم بن صخر بن العيلة ، وقيل : ابن أبي حازم: صخر بن العيلة بن عبد الله بن ربيعة بن عمرو بن عامر بن علي بن أسلم بن أحمس,صدوق ، في حفظه لين
15,أبان بن عثمان بن عفان,ثقة
16,أبان بن يزيد,ثقة له أفراد
17,إبراهيم ، عن كعب بن عجرة,مجهول
18,إبراهيم بن أبي أسيد,صدوق
19,إبراهيم بن أبي العباس ، ويقال: ابن العباس,ثقة ، تغير بآخره فلم يحدث
21,إبراهيم بن أبي عبلة : شمر بن يقظان بن عبد الله بن المرتحل,ثقة
22,إبراهيم بن أبي عمرو,مجهول
23,إبراهيم بن أبي موسى : عبد الله بن قيس,لم يثبت له سماع إلا من بعض الصحابة ، ووثقه العجلي
24,إبراهيم بن أبي ميمونة,مجهول الحال
25,إبراهيم بن أدهم بن منصور بن يزيد بن جابر بن ثعلبة بن سعد بن حلام بن غزية بن أسامة بن ربيعة بن ضبيعة بن عجل بن لجيم,صدوق
26,إبراهيم بن إسحاق بن عيسى ، وربما نسب إلى جده,صدوق يغرب
27,إبراهيم بن إسماعيل ، ويقال : إسماعيل بن إبراهيم,مجهول الحال
28,إبراهيم بن إسماعيل بن نصر,مجهول الحال
29,إبراهيم بن إسماعيل بن مجمع  ، وقيل: إبراهيم بن إسماعيل بن يزيد بن مجمع بن جارية,ضعيف
30,إبراهيم بن إسماعيل بن عبد الملك بن أبي محذورة,مجهول
31,إبراهيم بن إسماعيل بن يحيى بن سلمة بن كهيل,ضعيف
32,إبراهيم بن إسماعيل بن أبي حبيبة,ضعيف
33,إبراهيم بن أعين,ضعيف
34,إبراهيم بن بشار,حافظ له أوهام
35,إبراهيم بن جرير بن عبد الله,صدوق
36,إبراهيم بن الحارث بن إسماعيل,صدوق
37,إبراهيم بن حبيب بن الشهيد,ثقة
38,إبراهيم بن الحجاج بن زيد,ثقة يهم قليلا
39,إبراهيم بن الحسن بن الهيثم,ثقة
40,إبراهيم بن حمزة بن سليمان بن أبي يحيى,صدوق
41,إبراهيم بن حمزة بن محمد بن حمزة بن مصعب بن عبد الله بن الزبير بن العوام,صدوق
42,إبراهيم بن حميد بن عبد الرحمن بن مخلد بن عفيف بن رواس بن كلاب,ثقة
44,إبراهيم بن خالد بن أبي اليمان,ثقة
45,إبراهيم بن خالد بن عبيد,ثقة
46,إبراهيم بن دينار,ثقة
47,إبراهيم بن زياد,ثقة
48,إبراهيم بن سالم بن أبي أمية,صدوق
49,إبراهيم بن سعد بن أبي وقاص,ثقة
50,إبراهيم بن سعد بن إبراهيم بن عبد الرحمن بن عوف,ثقة حجة ، تُكُلِّم فيه بلا قادح
51,إبراهيم بن سعيد,ثقة حافظ ، تُكُلِّم فيه بلا حجة
52,إبراهيم بن سعيد,مجهول الحال
53,إبراهيم بن سليمان,ثقة ثبت إلا أنه يرسل
54,إبراهيم بن سليمان بن رزين ، وقيل : إبراهيم بن إسماعيل بن رزين,صدوق يغرب
55,إبراهيم بن سويد,ثقة ، لم يثبت أن النسائي ضعفه
56,إبراهيم بن سويد بن حيان,ثقة يغرب
57,إبراهيم بن صالح بن درهم,فيه ضعف
58,إبراهيم بن صدقة,صدوق
59,إبراهيم بن طهمان بن شعبة,ثقة يغرب ، تكلم فيه للإرجاء ، ويقال : رجع عنه
60,إبراهيم بن عامر بن مسعود بن أمية بن خلف بن وهب بن حذافة بن جمح,ثقة
61,إبراهيم بن عبد الأعلى,ثقة
62,إبراهيم بن عبد الرحمن بن يزيد بن أمية,مجهول
63,إبراهيم بن عبد الرحمن بن إسماعيل,صدوق، ضعيف الحفظ
64,إبراهيم بن عبد الرحمن بن مهدي بن حسان بن عبد الرحمن,صدوق، له مناكير ، قيل : إنها من قبل الراوي عنه
65,إبراهيم بن عبد الرحمن بن عوف,قيل : له رؤية
66,إبراهيم بن عبد الرحمن بن عبد الله بن أبي ربيعة ذي الرمحين : عمرو بن المغيرة بن عبد الله بن عمر بن مخزوم بن يقظة بن مرة بن كعب بن لؤي بن غالب,مقبول
67,إبراهيم بن عبد السلام بن عبد الله بن باباه,ضعيف
69,إبراهيم بن عبد العزيز بن عبد الملك بن أبي محذورة,صدوق يخطئ
