hadithNum,mainID,takhreegIDs
1,5,"5,0,102,0,4109,0,6034,0,7844,0,10309,0,10720,0,17443,0,17444,0,23238,0,24746,0,24747,0,25323,0,30894,0,30895,0,39800,0,63872,0,68920,0,69408,0,72236,0,78892,0,80055,0,88901,0,91970,0,99127,0,113848,0,119023,0,119024,0,120085,0,120554,0,121564,0,127875,0,128790,0,129845,0,134638,0,137133,0,145267,0,150487,0,150619,0,179926,0,183428,0,194871,0,286263,0,286264,0,295965,0,295966,0,295967,0,295968,0,295969,0,295970,0,295971,0,295972,0,329153,0,337009,0"
2,6,"6,0,5183,0,18801,0,21188,0,30201,0,58541,0,65248,0,65249,0,73708,0,73709,0,83402,0,87742,0,102443,0,135175,0,177309,0,177310,0,177360,0,178260,0,178262,0,183684,0,194359,0,304071,0,304072,0,304073,0,304074,0"
3,7,"7,0,5398,0,7636,0,7639,0,7641,0,7642,0,10764,0,12019,0,12020,0,12021,0,30191,0,55117,0,55118,0,56657,0,56658,0,57976,0,102439,0,135165,0,140316,0,140319,0,177261,0,177926,0,178020,0,181732,0,181734,0,181820,0,212824,0,206212,0,212825,0,224305,0"
4,8,"8,0,5208,0,7548,0,7550,0,7552,0,7554,0,7556,0,7637,0,9617,0,12022,0,12023,0,12024,0,12025,0,12026,0,30193,0,30195,0,55258,0,88616,0,88617,0,88618,0,101900,0,135166,0,140317,0,140318,0,164791,0,164792,0,164990,0,165543,0,165545,0,165726,0,182021,0,182022,0,182027,0,186990,0,186991,0,187270,0,224306,0,280275,0"
5,9,"9,0,7559,0,7561,0,7563,0,7803,0,11502,0,12753,0,12754,0,30203,0,65250,0,73710,0,83401,0,88620,0,88621,0,88622,0,101905,0,152260,0,153576,0,183201,0,184017,0,200486,0,200487,0,314785,0"
6,10,"10,0,3094,0,5188,0,5614,0,7734,0,18737,0,18738,0,27934,0,36945,0,42803,0,67002,0,75802,0,83422,0,129272,0,129273,0,152395,0,152984,0,153392,0,153816,0,153862,0,153933,0,187596,0,193509,0,193510,0,236692,0,268243,0,268244,0,272730,0,274513,0,299818,0"
7,11,"11,0,96,0,4341,0,4546,0,4768,0,4824,0,5126,0,6802,0,9275,0,9698,0,11080,0,17042,0,17043,0,43170,0,87626,0,96024,0,100996,0,141380,0,143535,0,152731,0,187661,0,224320,0,289771,0,290908,0,291720,0,291721,0,291722,0,291723,0,296642,0,309300,0,309301,0,309302,0,309303,0,309304,0,309305,0,329033,0"
8,16,"16,0,11655,0,11656,0,11657,0,11658,0,25074,0,25075,0,25076,0,27915,0,27916,0,29066,0,30437,0,33006,0,71034,0,100815,0,100816,0,120850,0,127696,0,127697,0,128528,0,128529,0,155208,0,156088,0,156433,0,156720,0,184220,0,190875,0,193687,0,259838,0,272766,0,315806,0,316177,0,316399,0,316483,0,316484,0,316524,0,316576,0,316577,0,332226,0,336157,0,336435,0,336699,0"
9,18,"18,0,11703,0,11704,0,30453,0,30455,0,30484,0,30502,0,30504,0,71040,0,71041,0,71042,0,95418,0,100827,0,100828,0,108005,0,108006,0,159351,0,159785,0,160141,0,160179,0,182895,0,204809,0,204810,0,235992,0,266732,0,266734,0,267909,0,272879,0,334436,0,339037,0"
10,20,"20,0,10046,0,30514,0,30580,0,30915,0,71025,0,84404,0,92373,0,106895,0,143922,0,156936,0,157229,0,157237,0,157259,0,157260,0,157314,0,157337,0,157378,0,157380,0,157407,0,157408,0,157512,0,184105,0,184106,0,317053,0,317054,0,317055,0,317056,0,317057,0,317058,0,317059,0,317060,0,317061,0,317062,0,317069,0,317120,0,317121,0,333141,0,333882,0,336483,0,337734,0,340104,0"
11,22,"22,0,11716,0,11717,0,71030,0,100640,0,100848,0,192468,0,192470,0,198551,0,198552,0"
12,24,"24,0,54,0,9659,0,11713,0,31130,0,71032,0,96099,0,112518,0,157002,0,317428,0"
13,26,"26,0,11726,0,11727,0,30588,0,30590,0,47857,0,71055,0,71056,0,71092,0,100659,0,106940,0,108016,0,163292,0,163642,0,164130,0,164374,0,164375,0,164582,0,164463,0,182421,0,187936,0,187999,0,188016,0,188130,0,188200,0,188232,0,188233,0,188305,0,194041,0,202735,0,203188,0,338306,0,338894,0,340384,0"
14,28,"28,0,71054,0"
15,29,"29,0,11723,0,11724,0,30480,0,71052,0,71053,0,106941,0,108017,0,163305,0,164411,0,188098,0,188306,0,188959,0,194042,0,202748,0,338892,0"
16,31,"31,0,41,0,9371,0,10700,0,11719,0,11720,0,11721,0,30594,0,30595,0,71009,0,71011,0,71013,0,100842,0,113609,0,144267,0,162478,0,163256,0,163274,0,163647,0,163648,0,163905,0,164093,0,164412,0,164459,0,164460,0,164570,0,182376,0,187859,0,188049,0,188050,0,188191,0,188304,0,188307,0,188328,0,194195,0,201750,0,202159,0,202160,0,202424,0,202749,0,203176,0,203178,0,236240,0,272821,0,278275,0,300756,0,330291,0,334681,0,340425,0"
17,33,"33,0,5880,0,11805,0,11806,0,71058,0,83875,0,162804,0,162858,0,164108,0,182538,0,189255,0,189392,0,201899,0"
18,35,"35,0,6026,0,6027,0,6151,0,7476,0,10466,0,10490,0,10590,0,11105,0,11435,0,16849,0,16850,0,16851,0,16852,0,24064,0,38870,0,55582,0,57113,0,69867,0,69868,0,69892,0,69945,0,71036,0,82414,0,83112,0,83113,0,83137,0,83193,0,88542,0,98737,0,106404,0,111569,0,138136,0,138144,0,140169,0,144364,0,148937,0,148938,0,148939,0,174373,0,174374,0,174375,0,174383,0,174438,0,174439,0,174440,0,174449,0,174461,0,180498,0,180499,0,183853,0,224414,0,237051,0,269911,0,286061,0,288069,0,289368,0,291976,0,291977,0,292234,0"
19,37,"37,0,5272,0,5660,0,10065,0,10928,0,23044,0,41982,0,41988,0,71086,0,94907,0,113545,0,161481,0,161717,0,161858,0,162011,0,184253,0,185959,0,193858,0,280878,0"
20,39,"39,0,82,0,1893,0,13699,0,13700,0,26775,0,28279,0,30836,0,35234,0,66374,0,71084,0,74175,0,113863,0,124588,0,124589,0,124590,0,176244,0,176301,0,176345,0,176375,0,176969,0,177692,0,177832,0,178006,0,178156,0,178157,0,178158,0,178371,0,189735,0,194354,0,194371,0,236530,0,289953,0,299771,0,333996,0"
21,41,"31,0,41,0,9371,0,10700,0,11719,0,11720,0,11721,0,30594,0,30595,0,71009,0,71011,0,71013,0,100842,0,113609,0,144267,0,162478,0,163256,0,163274,0,163647,0,163648,0,163905,0,164093,0,164412,0,164459,0,164460,0,164570,0,182376,0,187859,0,188049,0,188050,0,188191,0,188304,0,188307,0,188328,0,194195,0,201750,0,202159,0,202160,0,202424,0,202749,0,203176,0,203178,0,236240,0,272821,0,278275,0,300756,0,330291,0,334681,0,340425,0"
22,43,"43,0,3955,0,6856,0,7531,0,10118,0,10144,0,11399,0,12078,0,12079,0,12080,0,12082,0,12083,0,12084,0,12085,0,12091,0,30486,0,30490,0,30565,0,44797,0,44801,0,44909,0,45009,0,55737,0,63601,0,63640,0,63642,0,63643,0,71048,0,88091,0,100797,0,107084,0,108009,0,108159,0,113910,0,113944,0,143946,0,161464,0,161527,0,161531,0,161555,0,161558,0,161580,0,161587,0,161611,0,161661,0,161662,0,161663,0,161908,0,161909,0,162002,0,162017,0,162073,0,162176,0,162202,0,162217,0,162328,0,162329,0,162330,0,162372,0,182626,0,185982,0,186072,0,186161,0,186194,0,186228,0,186229,0,186230,0,186345,0,191458,0,193728,0,193730,0,193733,0,193770,0,193785,0,193800,0,193856,0,203527,0,203981,0,236857,0,277479,0,277665,0,296748,0,332043,0"
23,44,"44,0,5758,0,10807,0,10809,0,18960,0,43833,0,71049,0,82896,0,83607,0,100278,0,100279,0,105906,0,162287,0,174917,0,186265,0,236317,0,338813,0"
24,46,"46,0,9480,0,11705,0,11706,0,22866,0,31346,0,71080,0,95561,0,100830,0,108007,0,154965,0,155593,0,156760,0,184138,0,190513,0,190576,0,190624,0,193589,0,201521,0,236038,0,266733,0,291125,0,291126,0,291127,0,291128,0,334724,0,340447,0"
25,48,"48,0,11676,0,30472,0,30559,0,125069,0,126785,0,139193,0,146102,0,146103,0,338533,0"
26,50,"50,0,2490,0,11822,0,11823,0,30430,0,39251,0,39253,0,67720,0,68472,0,68512,0,71006,0,77293,0,78354,0,78393,0,99144,0,106290,0,106938,0,131600,0,141222,0,157934,0,158012,0,158063,0,158285,0,158496,0,158793,0,159004,0,159463,0,160131,0,161199,0,161323,0,183040,0,191700,0,203395,0,236213,0,259623,0"
27,52,"52,0,2420,0,11987,0,11988,0,11989,0,11990,0,14446,0,14447,0,14448,0,30447,0,71019,0,71020,0,88418,0,95426,0,95427,0,151853,0,151910,0,180088,0,183474,0,183475,0,185652,0,185671,0,185716,0,192899,0,195962,0,195963,0,272849,0,335075,0"
28,54,"24,0,54,0,9659,0,11713,0,31130,0,71032,0,96099,0,112518,0,157002,0,317428,0"
29,56,"56,0,741,0,1245,0,1738,0,5168,0,8051,0,14033,0,14034,0,21144,0,23452,0,23453,0,26944,0,35722,0,35764,0,66141,0,75034,0,90643,0,104928,0,126523,0,126565,0,126586,0,136817,0,153080,0,153763,0,200801,0,218903,0,283583,0,290212,0,293288,0,296770,0,297080,0"
30,58,"58,0,4133,0,9382,0,16671,0,16672,0,16673,0,96050,0,96051,0,96054,0,99646,0,113155,0,138054,0,138055,0,138056,0,138057,0,172994,0,173017,0,173018,0,173070,0,173102,0,199363,0,199448,0,199452,0,233559,0,233560,0,288967,0"
31,60,"60,0,10592,0,10918,0,10919,0,20258,0,20259,0,20260,0,41963,0,42034,0,69814,0,69815,0,69816,0,69817,0,77270,0,77271,0,77272,0,77273,0,94909,0,94910,0,139268,0,139269,0,139270,0,171870,0,171904,0,171925,0,171949,0,171951,0,199027,0,199028,0,199031,0,236718,0,236727,0,294476,0,294478,0,338597,0"
32,62,"62,0,5349,0,5454,0,5455,0,6946,0,7248,0,10668,0,10694,0,11924,0,11925,0,30624,0,87808,0,88199,0,101545,0,115100,0,143909,0,143910,0,153984,0,154437,0,154650,0,180166,0,190246,0,196565,0,196566,0,196567,0"
33,64,"64,0,4342,0,4450,0,9449,0,11773,0,11774,0,11775,0,11776,0,30631,0,71061,0,87740,0,100853,0,100854,0,132907,0,134378,0,134379,0,134380,0,143988,0,159110,0,159582,0,161370,0,191629,0,203520,0,204034,0,204397,0,205841,0"
34,65,"65,0,3992,0,5134,0,11772,0,30626,0,30628,0,71060,0,84454,0,95431,0,100855,0,100856,0,141669,0,143125,0,157191,0,157289,0,157304,0,193108,0,267045,0,267047,0,317044,0,317045,0,317046,0"
35,67,"67,0,71,0,73,0,3092,0,3257,0,3258,0,3265,0,13639,0,13640,0,13641,0,13642,0,20916,0,23629,0,27943,0,28498,0,28503,0,28507,0,35154,0,36929,0,37426,0,46131,0,46132,0,66320,0,66321,0,67014,0,67138,0,67140,0,67141,0,67142,0,67143,0,67144,0,67145,0,67146,0,67147,0,67148,0,67149,0,67151,0,67152,0,67153,0,67155,0,71065,0,71066,0,71067,0,71069,0,74158,0,74159,0,75814,0,75939,0,75941,0,75942,0,75943,0,75944,0,75945,0,75946,0,75947,0,75948,0,75949,0,75950,0,75952,0,75953,0,75954,0,75955,0,75956,0,77062,0,77063,0,77064,0,77065,0,77066,0,77067,0,77068,0,77069,0,77070,0,77071,0,77072,0,77073,0,77074,0,77075,0,90880,0,90881,0,97391,0,97602,0,105309,0,109728,0,109730,0,110150,0,124416,0,124417,0,124418,0,124419,0,124420,0,124421,0,129262,0,129282,0,129283,0,151992,0,152020,0,157598,0,157707,0,157708,0,158209,0,158303,0,159000,0,159426,0,159712,0,159713,0,159894,0,160552,0,160553,0,160742,0,160977,0,161288,0,180115,0,182836,0,184564,0,184622,0,185803,0,185804,0,185805,0,187676,0,191020,0,191050,0,191059,0,191087,0,192918,0,195905,0,203540,0,203757,0,203758,0,204362,0,204436,0,204491,0,205370,0,222027,0,222028,0,245847,0,245854,0,247190,0,247191,0,247195,0,247196,0,292187,0,292188,0,292189,0,292190,0,292191,0,292192,0,292193,0,338854,0"
36,69,"69,0,420,0,4519,0,4522,0,4536,0,4544,0,4815,0,5052,0,8588,0,11124,0,11125,0,11421,0,11429,0,17355,0,17356,0,17357,0,17358,0,17359,0,17360,0,17361,0,17362,0,17366,0,17367,0,21826,0,21827,0,21866,0,21868,0,21882,0,24321,0,39277,0,39299,0,39301,0,39311,0,39361,0,39535,0,39537,0,68426,0,68461,0,68462,0,68463,0,68468,0,68470,0,68499,0,68506,0,68507,0,71073,0,71074,0,78311,0,78344,0,78345,0,78346,0,78350,0,78352,0,78380,0,78387,0,78388,0,84616,0,99083,0,99141,0,106286,0,106314,0,111794,0,111851,0,118007,0,118019,0,118020,0,118030,0,118314,0,118337,0,118338,0,127174,0,140432,0,140515,0,141223,0,141224,0,141225,0,141226,0,141227,0,141228,0,141229,0,141230,0,141231,0,141274,0,141275,0,141309,0,157585,0,157729,0,157768,0,158552,0,158626,0,158962,0,159405,0,159406,0,159407,0,159408,0,159512,0,159598,0,159599,0,159611,0,159612,0,159613,0,159617,0,159906,0,159910,0,159911,0,159912,0,160079,0,160355,0,160435,0,160561,0,160845,0,160880,0,160963,0,161094,0,161182,0,161315,0,161383,0,184657,0,184658,0,184708,0,184709,0,184710,0,184713,0,190934,0,191358,0,203335,0,203336,0,203406,0,203754,0,203949,0,204692,0,204753,0,204761,0,205099,0,205251,0,205755,0,224086,0,224087,0,224088,0,224090,0,259584,0,259585,0,259586,0,259587,0,259752,0,259779,0,259826,0,330422,0,331688,0,337640,0,337649,0,337650,0,338818,0"
37,71,"67,0,71,0,73,0,3092,0,3257,0,3258,0,3265,0,13639,0,13640,0,13641,0,13642,0,20916,0,23629,0,27943,0,28498,0,28503,0,28507,0,35154,0,36929,0,37426,0,46131,0,46132,0,66320,0,66321,0,67014,0,67138,0,67140,0,67141,0,67142,0,67143,0,67144,0,67145,0,67146,0,67147,0,67148,0,67149,0,67151,0,67152,0,67153,0,67155,0,71065,0,71066,0,71067,0,71069,0,74158,0,74159,0,75814,0,75939,0,75941,0,75942,0,75943,0,75944,0,75945,0,75946,0,75947,0,75948,0,75949,0,75950,0,75952,0,75953,0,75954,0,75955,0,75956,0,77062,0,77063,0,77064,0,77065,0,77066,0,77067,0,77068,0,77069,0,77070,0,77071,0,77072,0,77073,0,77074,0,77075,0,90880,0,90881,0,97391,0,97602,0,105309,0,109728,0,109730,0,110150,0,124416,0,124417,0,124418,0,124419,0,124420,0,124421,0,129262,0,129282,0,129283,0,151992,0,152020,0,157598,0,157707,0,157708,0,158209,0,158303,0,159000,0,159426,0,159712,0,159713,0,159894,0,160552,0,160553,0,160742,0,160977,0,161288,0,180115,0,182836,0,184564,0,184622,0,185803,0,185804,0,185805,0,187676,0,191020,0,191050,0,191059,0,191087,0,192918,0,195905,0,203540,0,203757,0,203758,0,204362,0,204436,0,204491,0,205370,0,222027,0,222028,0,245847,0,245854,0,247190,0,247191,0,247195,0,247196,0,292187,0,292188,0,292189,0,292190,0,292191,0,292192,0,292193,0,338854,0"
38,73,"67,0,71,0,73,0,3092,0,3257,0,3258,0,3265,0,13639,0,13640,0,13641,0,13642,0,20916,0,23629,0,27943,0,28498,0,28503,0,28507,0,35154,0,36929,0,37426,0,46131,0,46132,0,66320,0,66321,0,67014,0,67138,0,67140,0,67141,0,67142,0,67143,0,67144,0,67145,0,67146,0,67147,0,67148,0,67149,0,67151,0,67152,0,67153,0,67155,0,71065,0,71066,0,71067,0,71069,0,74158,0,74159,0,75814,0,75939,0,75941,0,75942,0,75943,0,75944,0,75945,0,75946,0,75947,0,75948,0,75949,0,75950,0,75952,0,75953,0,75954,0,75955,0,75956,0,77062,0,77063,0,77064,0,77065,0,77066,0,77067,0,77068,0,77069,0,77070,0,77071,0,77072,0,77073,0,77074,0,77075,0,90880,0,90881,0,97391,0,97602,0,105309,0,109728,0,109730,0,110150,0,124416,0,124417,0,124418,0,124419,0,124420,0,124421,0,129262,0,129282,0,129283,0,151992,0,152020,0,157598,0,157707,0,157708,0,158209,0,158303,0,159000,0,159426,0,159712,0,159713,0,159894,0,160552,0,160553,0,160742,0,160977,0,161288,0,180115,0,182836,0,184564,0,184622,0,185803,0,185804,0,185805,0,187676,0,191020,0,191050,0,191059,0,191087,0,192918,0,195905,0,203540,0,203757,0,203758,0,204362,0,204436,0,204491,0,205370,0,222027,0,222028,0,245847,0,245854,0,247190,0,247191,0,247195,0,247196,0,292187,0,292188,0,292189,0,292190,0,292191,0,292192,0,292193,0,338854,0"
39,75,"75,0,30820,0,71082,0,124593,0"
40,77,"77,0,691,0,6692,0,6704,0,11160,0,12947,0,12948,0,23357,0,25287,0,25294,0,25298,0,33530,0,64525,0,64526,0,64929,0,73610,0,87517,0,87521,0,96818,0,101421,0,109287,0,114241,0,114242,0,114243,0,121480,0,121481,0,146288,0,169713,0,169760,0,169932,0,180685,0,180688,0,240881,0"
41,79,
42,80,"80,0,11472,0,11934,0,11935,0,11936,0,11937,0,30577,0,30876,0,30878,0,30880,0,30882,0,30884,0,30886,0,87833,0,101551,0,157624,0,157723,0,158587,0,158638,0,158640,0,159749,0,160904,0,191377,0,191596,0,204690,0,205891,0,236518,0,291281,0,333766,0,334061,0"
43,82,"39,0,82,0,1893,0,13699,0,13700,0,26775,0,28279,0,30836,0,35234,0,66374,0,71084,0,74175,0,113863,0,124588,0,124589,0,124590,0,176244,0,176301,0,176345,0,176375,0,176969,0,177692,0,177832,0,178006,0,178156,0,178157,0,178158,0,178371,0,189735,0,194354,0,194371,0,236530,0,289953,0,299771,0,333996,0"
44,84,"84,0,6670,0,10149,0,11366,0,11400,0,11411,0,11481,0,11482,0,11489,0,12102,0,12103,0,12104,0,12105,0,12106,0,12112,0,12114,0,42988,0,43023,0,45007,0,47692,0,51328,0,51329,0,82968,0,87488,0,87747,0,87942,0,88274,0,100791,0,100792,0,103056,0,103058,0,113947,0,142893,0,153062,0,162630,0,162850,0,162864,0,162886,0,162958,0,162959,0,162978,0,163263,0,163667,0,164061,0,164066,0,164091,0,164339,0,164428,0,164429,0,182383,0,182427,0,184831,0,187831,0,187938,0,187948,0,187976,0,188004,0,188005,0,188026,0,188027,0,188042,0,188062,0,188086,0,188103,0,188113,0,188256,0,188321,0,189029,0,189056,0,189064,0,189203,0,189210,0,189389,0,189434,0,194039,0,194053,0,194138,0,201752,0,201948,0,202234,0,202640,0,202641,0,202696,0,202765,0,203035,0,203080,0,203123,0,213354,0,213355,0,236859,0,272848,0,274377,0,274483,0,279420,0,279515,0,296737,0,296738,0,330297,0,333601,0,337267,0,340589,0"
45,85,"85,0,6588,0,6906,0,11181,0,20566,0,20567,0,20568,0,30492,0,68289,0,71050,0,77878,0,87756,0,101515,0,125652,0,130465,0,130466,0,150507,0,150591,0,183431,0,192782,0,211851,0,292386,0,292387,0,329968,0,333525,0"
46,87,"87,0,3077,0,4336,0,10725,0,11641,0,11642,0,21113,0,23331,0,25070,0,33547,0,36591,0,64477,0,66996,0,71071,0,72613,0,75796,0,89585,0,89586,0,93524,0,104999,0,120867,0,121523,0,124238,0,124240,0,128545,0,151719,0,195760,0,290177,0"
47,89,"89,0,2167,0,2169,0,14133,0,14134,0,14135,0,14136,0,14137,0,14138,0,14139,0,23757,0,36219,0,36221,0,36223,0,59924,0,66856,0,66857,0,66858,0,66859,0,71078,0,75371,0,75372,0,75373,0,75374,0,93394,0,93395,0,98013,0,102760,0,102992,0,102993,0,102994,0,110012,0,127104,0,127105,0,127106,0,127107,0,127108,0,154864,0,157616,0,157777,0,158112,0,158197,0,158685,0,159441,0,159632,0,159982,0,160339,0,160514,0,160578,0,160829,0,160906,0,160976,0,161200,0,161320,0,183143,0,184637,0,191280,0,191549,0,191738,0,191758,0,203382,0,204106,0,204107,0,204170,0,204199,0,204247,0,204255,0,204638,0,204645,0,204807,0,205053,0,205534,0,205605,0,220405,0,220406,0,220407,0,220408,0,250354,0,250356,0,250358,0,250359,0,290755,0,290756,0,290757,0,290758,0,290760,0,290761,0,290763,0,290766,0,329842,0,331347,0,333971,0,334115,0,336081,0,339043,0,340286,0"
48,91,"91,0,9376,0,10909,0,11786,0,11787,0,41952,0,69797,0,69798,0,69799,0,69800,0,69801,0,69802,0,69803,0,69804,0,69805,0,77251,0,77252,0,77253,0,77254,0,77255,0,77256,0,77257,0,77258,0,77259,0,77260,0,77261,0,99709,0,100859,0,100860,0,107992,0,108019,0,113496,0,138147,0,138148,0,144090,0,154046,0,154305,0,154361,0,154532,0,154587,0,154672,0,154755,0,154804,0,180143,0,180154,0,180202,0,183514,0,190074,0,190077,0,190206,0,190363,0,190420,0,190434,0,196768,0,196925,0,197192,0,197266,0,211130,0,252300,0,252301,0,278042,0,290207,0,290208,0,290209,0,290210,0,290211,0,310883,0,310893,0,312489,0,312706,0,312714,0,312778,0,333089,0,337875,0"
49,92,"92,0,3276,0,9381,0,28496,0,37420,0,77039,0,77040,0,105316,0,129316,0,174372,0,174377,0,174379,0,174427,0,180495,0,198003,0,246955,0,247904,0,286243,0,286244,0,334081,0"
50,94,"94,0,7250,0,11636,0,11637,0,11639,0,28584,0,30439,0,71017,0,80401,0,95442,0,108014,0,113622,0,149071,0,159552,0,159932,0,199486,0,272764,0,281320,0,293029,0"
51,96,"11,0,96,0,4341,0,4546,0,4768,0,4824,0,5126,0,6802,0,9275,0,9698,0,11080,0,17042,0,17043,0,43170,0,87626,0,96024,0,100996,0,141380,0,143535,0,152731,0,187661,0,224320,0,289771,0,290908,0,291720,0,291721,0,291722,0,291723,0,296642,0,309300,0,309301,0,309302,0,309303,0,309304,0,309305,0,329033,0"
52,98,"98,0,3327,0,9326,0,16400,0,16401,0,16402,0,16403,0,19441,0,19442,0,19443,0,19444,0,19445,0,23788,0,30586,0,30711,0,31565,0,41204,0,70294,0,72043,0,79520,0,80655,0,93632,0,93633,0,98318,0,98319,0,106549,0,113550,0,126691,0,131614,0,131615,0,132106,0,132107,0,169555,0,169563,0,169576,0,169581,0,169582,0,169583,0,169588,0,169592,0,169601,0,169620,0,169624,0,169626,0,169641,0,169642,0,169656,0,170696,0,180757,0,180759,0,180762,0,184522,0,184523,0,184524,0,184526,0,198601,0,198649,0,198650,0,198651,0,198652,0,198653,0,198655,0,198656,0,198658,0,198659,0,198660,0,198661,0,198662,0,198663,0,198668,0,198680,0,236307,0,262667,0,277899,0,277901,0,290091,0,290092,0,290093,0,290094,0,323623,0,323624,0,323625,0,323626,0,323627,0,323628,0,323629,0,323630,0,323631,0,323632,0,323633,0,323634,0,323635,0,323636,0,323637,0,323638,0,323639,0,323640,0,323641,0,323642,0,323643,0,323644,0,323658,0,323659,0,323660,0,323661,0,323662,0,323663,0,323664,0,323665,0,323666,0,323667,0,323668,0,323669,0,323670,0,323671,0,323673,0,323674,0,323675,0,323676,0,323677,0,323678,0,323679,0,323680,0,323681,0,323682,0,323683,0,323684,0,323731,0,323732,0,323758,0,323759,0,323775,0,323779,0,323780,0,323781,0,323782,0,323837,0,331523,0,331764,0,337729,0,339036,0,339988,0"
